"id","date","vaccines","tests","confirmed","recovered","deaths","hosp","vent","icu","population","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","stringency_index","iso_alpha_3","iso_alpha_2","iso_numeric","currency","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","key","key_apple_mobility","key_google_mobility"
"USA",2020-05-19,NA,13636728,1538241,289392,95333,42023,NA,9598,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-20,NA,14092816,1560975,294312,96848,41856,NA,9522,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-21,NA,14548720,1586662,298418,98055,41359,NA,9092,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-22,NA,15033595,1610252,350135,99300,40008,NA,9042,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-23,NA,15417255,1631496,361239,100447,38625,NA,8739,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-24,NA,15759090,1651676,366736,101055,37742,NA,8491,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-25,NA,16093344,1670442,379157,101614,37703,NA,8467,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-26,NA,16549488,1689948,384902,102277,37751,NA,8580,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-27,NA,17102412,1708342,391508,103777,38300,NA,8552,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-28,NA,17636053,1730551,399991,104944,38000,NA,8392,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-29,NA,18173634,1755010,406446,106111,36942,NA,8170,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-30,NA,18626566,1778689,416461,107061,35759,NA,7960,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-31,NA,18998756,1797763,444758,107755,34925,NA,7625,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-01,NA,19435246,1815200,458231,108536,34325,NA,7592,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-02,NA,19957991,1836574,463868,109576,33956,NA,7410,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-03,NA,20545094,1856276,479258,110570,33227,NA,7229,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-04,NA,21165266,1877823,485002,111588,32802,NA,7044,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-05,NA,21739904,1903298,491706,112476,32502,NA,6921,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-06,NA,22206182,1924571,500849,113179,31994,NA,6762,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-07,NA,22611939,1942472,506367,113629,31490,NA,6501,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-08,NA,23061714,1959988,518522,114136,31105,NA,6398,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-09,NA,23621569,1978167,524855,115057,31179,NA,6453,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-10,NA,24249163,1999178,533504,115950,30961,NA,6256,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-11,NA,24858758,2022249,540292,116803,29850,NA,6075,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-12,NA,25473943,2046987,547386,117621,29306,NA,6009,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-13,NA,26003672,2072111,556606,118393,28578,NA,5883,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-14,NA,26416015,2091205,561816,118708,28020,NA,5749,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-15,NA,26920917,2110841,576334,119095,28034,NA,5700,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-16,NA,27593720,2134198,583503,119916,28370,NA,5570,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-17,NA,28298494,2160815,592191,120657,28647,NA,5608,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-18,NA,28999172,2188746,599115,121346,28538,NA,5472,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-19,NA,29702838,2219943,606715,122008,28693,NA,5337,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-20,NA,30286400,2252125,617460,122613,28084,NA,5229,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-21,NA,30710003,2277398,622133,122912,28325,NA,5195,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-22,NA,31252503,2308786,640198,123301,28963,NA,5325,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-23,NA,31952713,2344930,647548,124142,30355,NA,5392,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-24,NA,32718319,2379799,656161,124899,31270,NA,5292,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-25,NA,33491727,2419613,663562,125441,31922,NA,5319,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-26,NA,34297817,2465116,670809,126070,31850,NA,5290,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-27,NA,34991394,2506339,679308,126578,32566,NA,5314,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-28,NA,35556554,2546782,685164,126870,32575,NA,5252,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-29,NA,36215354,2587430,705203,127261,33742,NA,5389,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-30,NA,37067072,2633466,720631,127893,35337,NA,5426,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-01,NA,37943102,2684885,729994,128590,36526,NA,5492,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-02,NA,38791021,2741180,781970,129323,37646,NA,5636,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-03,NA,39578200,2792300,790404,129985,37927,NA,5597,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-04,NA,40185513,2838085,894325,130278,38281,NA,5633,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-05,NA,40701737,2889103,906763,130582,38872,NA,5653,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-06,NA,41415190,2932001,924148,130945,39960,NA,5678,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-07,NA,42299535,2992598,936476,132145,41949,NA,5838,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-08,NA,43266252,3052898,953462,133002,43207,NA,5872,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-09,NA,44257326,3115732,969111,134007,44051,NA,5843,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-10,NA,45252711,3183634,983185,134820,51724,NA,5899,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-11,NA,46079594,3244493,995576,135531,51982,NA,5939,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-12,NA,46760167,3303223,1006326,135996,52860,NA,5930,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-13,NA,47611051,3361729,1031939,136423,54118,NA,6063,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-14,NA,48600741,3429909,1049098,137351,55678,NA,6238,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-15,NA,49623719,3498016,1075882,138319,56340,NA,6328,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-16,NA,50630828,3573831,1090645,139281,57602,NA,6349,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-17,NA,51662400,3645631,1107204,140200,57871,NA,6451,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-18,NA,52555358,3708311,1122720,141070,57822,NA,6397,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-19,NA,53260915,3769030,1131121,141540,58052,NA,6384,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-20,NA,54147994,3831042,1160087,142084,58518,NA,6551,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-21,NA,55158969,3895883,1182018,143207,59476,NA,6717,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-22,NA,56249425,3966659,1210849,144425,59758,NA,10460,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-23,NA,57309550,4035507,1233269,145522,59860,NA,10423,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-24,NA,58358719,4108964,1261624,146675,59800,NA,10389,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-07-25,NA,59217523,4173928,1279414,147555,59382,NA,10380,326687501,3,2,2,4,1,1,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
